Gender,Married,Dependents,Education,Employment Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,Salaried,21155,57771,434708,360,0,Rural,N
Male,Yes,2,Graduate,Salaried,61607,28816,118798,180,1,Rural,Y
Male,No,2,Graduate,Salaried,48487,31536,251604,300,1,Rural,Y
Male,Yes,2,Not Graduate,Salaried,70668,0,160130,240,1,Rural,Y
Male,Yes,0,Graduate,Salaried,35963,23020,740955,180,1,Rural,N
Male,Yes,0,Graduate,Salaried,65124,28816,80257,180,1,Urban,Y
Male,No,0,Graduate,Self-Employed,67870,17602,457427,300,1,Urban,Y
Male,Yes,3+,Not Graduate,Self-Employed,71547,33482,102691,120,0,Urban,N
Male,Yes,0,Graduate,Self-Employed,79110,23060,654056,120,1,Semiurban,N
Male,Yes,2,Graduate,Self-Employed,68554,23060,468829,360,1,Semiurban,Y
Female,No,1,Not Graduate,Unemployed,35936,17424,588314,300,0,Semiurban,N
Male,Yes,0,Not Graduate,Unemployed,19426,40219,799450,240,0,Urban,N
Male,No,2,Not Graduate,Self-Employed,103839,24702,343052,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,Unemployed,42606,29532,593898,300,0,Urban,N
Male,Yes,2,Graduate,Salaried,62832,57938,227718,240,1,Urban,Y
Male,Yes,3+,Not Graduate,Unemployed,43151,20514,548357,120,0,Semiurban,N
Male,Yes,0,Graduate,Self-Employed,94303,25313,375329,240,1,Rural,Y
Female,Yes,0,Not Graduate,Self-Employed,26308,47589,228646,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,Self-Employed,77522,7787,568420,300,1,Semiurban,Y
Male,No,3+,Not Graduate,Self-Employed,60671,17996,272123,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,105306,32413,545236,240,1,Semiurban,Y
Male,Yes,1,Graduate,Unemployed,109108,48896,541006,180,1,Urban,Y
Male,Yes,1,Graduate,Unemployed,17204,24710,593576,300,1,Semiurban,Y
Female,Yes,2,Not Graduate,Self-Employed,107769,46045,658713,360,0,Semiurban,N
Male,Yes,0,Not Graduate,Unemployed,102265,38467,50917,360,1,Urban,Y
Female,Yes,1,Graduate,Self-Employed,46131,17602,89104,120,1,Urban,Y
Female,Yes,3+,Graduate,Salaried,67428,20514,723422,240,1,Rural,Y
Male,No,0,Graduate,Salaried,48870,32236,329143,180,1,Rural,Y
Male,No,0,Not Graduate,Salaried,118547,9967,312091,120,0,Semiurban,N
Male,Yes,3+,Not Graduate,Unemployed,119918,6132,505061,240,0,Urban,N
Male,Yes,0,Graduate,Salaried,64067,29532,453157,300,1,Urban,Y
Male,Yes,2,Graduate,Unemployed,73585,32228,635457,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Self-Employed,36607,25127,204542,180,0,Rural,Y
Male,Yes,0,Not Graduate,Salaried,39968,46560,179744,360,1,Urban,Y
Male,Yes,2,Graduate,Salaried,113934,47589,109821,300,0,Rural,Y
Female,No,0,Graduate,Unemployed,26908,24164,267741,240,1,Urban,Y
Male,No,0,Graduate,Salaried,41423,7176,299265,300,0,Rural,N
Female,Yes,0,Graduate,Salaried,89707,30242,487651,300,1,Semiurban,Y
Male,Yes,1,Graduate,Self-Employed,93257,14135,447745,360,1,Rural,Y
Male,Yes,0,Graduate,Salaried,76215,47998,264127,180,0,Urban,N
Male,No,0,Not Graduate,Salaried,70835,8696,324336,300,1,Semiurban,Y
Male,Yes,3+,Graduate,Unemployed,64429,14171,386246,360,1,Urban,Y
Female,Yes,0,Not Graduate,Salaried,97152,6105,253834,180,1,Urban,Y
Male,No,1,Graduate,Unemployed,53458,44065,136795,240,1,Rural,Y
Female,Yes,0,Graduate,Salaried,61169,35099,215159,240,1,Rural,Y
Male,No,2,Graduate,Salaried,22659,32228,378821,120,1,Rural,Y
Male,Yes,0,Graduate,Salaried,75614,40219,709987,360,1,Semiurban,Y
Female,Yes,3+,Not Graduate,Unemployed,92240,17297,293877,180,1,Rural,Y
Female,Yes,0,Not Graduate,Salaried,47793,7176,249298,300,1,Urban,Y
Female,No,0,Graduate,Unemployed,61473,14256,548843,240,1,Urban,Y
Male,No,0,Graduate,Unemployed,111762,22076,762793,180,1,Urban,Y
Male,No,0,Not Graduate,Unemployed,104388,47589,186285,360,1,Semiurban,Y
Female,Yes,0,Graduate,Unemployed,112618,29729,152412,120,1,Semiurban,Y
Male,No,0,Graduate,Unemployed,103330,57314,593692,240,1,Urban,Y
Female,Yes,2,Not Graduate,Unemployed,70751,46075,166545,180,1,Semiurban,Y
Female,Yes,0,Graduate,Self-Employed,93915,6196,468596,180,1,Rural,Y
Male,No,0,Graduate,Unemployed,69254,14256,272128,180,1,Semiurban,Y
Female,Yes,1,Graduate,Self-Employed,22006,48178,724533,360,1,Urban,Y
Female,Yes,1,Not Graduate,Self-Employed,89218,39540,758387,360,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,80344,19534,420250,360,1,Urban,Y
Female,Yes,0,Graduate,Salaried,48840,40219,336663,300,1,Urban,N
Male,Yes,0,Not Graduate,Self-Employed,47430,23020,430714,180,1,Semiurban,Y
Female,Yes,2,Graduate,Unemployed,38091,39540,64995,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,Salaried,47983,24702,73559,360,0,Semiurban,Y
Female,No,0,Graduate,Self-Employed,38989,9967,571244,360,1,Semiurban,Y
Male,No,2,Not Graduate,Salaried,90451,28816,401193,180,1,Rural,Y
Male,Yes,2,Graduate,Salaried,33990,9956,448237,360,1,Urban,Y
Female,Yes,1,Graduate,Unemployed,105270,6105,672288,300,1,Semiurban,Y
Male,Yes,2,Graduate,Unemployed,95360,51980,726479,300,1,Rural,Y
Male,Yes,0,Graduate,Self-Employed,51081,33482,494755,360,1,Urban,Y
Female,Yes,0,Not Graduate,Salaried,26033,27357,538051,180,0,Urban,N
Female,Yes,0,Not Graduate,Unemployed,31241,57938,489439,180,1,Rural,Y
Male,Yes,0,Graduate,Unemployed,20939,56313,75517,180,0,Urban,Y
Male,Yes,0,Graduate,Salaried,62562,48410,521869,120,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Self-Employed,50063,27601,465466,360,1,Urban,Y
Male,Yes,0,Not Graduate,Salaried,115000,45546,265558,180,1,Semiurban,Y
Male,No,0,Graduate,Self-Employed,91721,48361,526111,300,1,Urban,Y
Male,No,0,Graduate,Salaried,42045,17602,534282,240,1,Urban,Y
Female,Yes,3+,Graduate,Self-Employed,59769,17424,510014,240,1,Semiurban,Y
Female,No,0,Graduate,Salaried,62118,27626,497415,180,1,Urban,Y
Female,Yes,0,Graduate,Unemployed,99703,30242,567039,240,0,Semiurban,N
Male,No,0,Graduate,Self-Employed,116948,15195,571396,240,0,Urban,N
Male,No,0,Graduate,Self-Employed,36625,48896,155686,120,1,Urban,Y
Male,Yes,3+,Not Graduate,Salaried,119724,44065,662439,300,1,Urban,Y
Male,Yes,3+,Graduate,Unemployed,42076,25313,315471,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,79805,45695,694606,120,1,Rural,Y
Female,Yes,3+,Graduate,Self-Employed,59605,57771,769778,120,1,Urban,Y
Male,Yes,1,Graduate,Self-Employed,99565,39540,537602,240,1,Semiurban,Y
Male,Yes,2,Graduate,Unemployed,103509,58521,748148,360,1,Urban,Y
Male,Yes,0,Graduate,Salaried,54121,9956,690233,240,1,Urban,Y
Female,No,0,Graduate,Self-Employed,80101,17996,263456,120,0,Rural,N
Male,No,0,Graduate,Unemployed,46433,33247,358974,300,1,Urban,Y
Male,Yes,1,Graduate,Salaried,58309,22076,102446,240,0,Rural,Y
Male,Yes,0,Graduate,Self-Employed,82468,46075,458376,360,1,Urban,Y
Male,Yes,0,Not Graduate,Self-Employed,59254,15195,761943,240,1,Semiurban,N
Male,Yes,0,Graduate,Salaried,82293,7176,477214,180,1,Semiurban,Y
Female,No,1,Not Graduate,Unemployed,111258,28816,190148,240,1,Rural,Y
Male,Yes,0,Graduate,Unemployed,52853,45695,643629,120,1,Semiurban,Y
Male,Yes,1,Graduate,Self-Employed,53405,30792,81085,300,1,Semiurban,Y
Male,Yes,3+,Graduate,Self-Employed,81652,6132,367715,300,1,Urban,Y
Female,Yes,0,Graduate,Self-Employed,58527,23601,457931,120,1,Urban,N
Male,No,1,Not Graduate,Salaried,92227,50607,574006,180,1,Rural,Y
Male,No,0,Graduate,Self-Employed,15492,6105,440452,120,1,Urban,N
Female,Yes,2,Not Graduate,Salaried,108418,48463,55750,240,1,Semiurban,Y
Female,Yes,0,Graduate,Salaried,23811,13155,390912,120,1,Rural,Y
Female,Yes,1,Graduate,Unemployed,108344,46075,561760,120,1,Urban,Y
Female,No,2,Graduate,Self-Employed,39272,50740,85903,180,1,Rural,Y
Male,No,3+,Graduate,Unemployed,108935,51980,253561,240,0,Semiurban,N
Male,Yes,1,Graduate,Unemployed,87010,46045,665324,360,1,Semiurban,Y
Female,Yes,0,Graduate,Self-Employed,107492,7871,662242,360,1,Rural,Y
Male,No,1,Graduate,Unemployed,62153,23852,562493,300,1,Urban,Y
Male,Yes,2,Graduate,Unemployed,69110,22076,477530,120,1,Urban,Y
Female,No,1,Not Graduate,Unemployed,28979,25313,491441,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,Self-Employed,43328,54812,478395,180,1,Urban,Y
Male,Yes,3+,Not Graduate,Salaried,27867,51956,691593,360,1,Semiurban,Y
Male,Yes,1,Graduate,Salaried,74234,6132,555633,120,0,Rural,N
Male,Yes,1,Graduate,Unemployed,40851,30792,468554,180,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,46279,0,535651,180,1,Urban,Y
Male,No,1,Not Graduate,Salaried,111063,24149,250753,120,1,Rural,Y
Male,Yes,0,Graduate,Self-Employed,88402,27357,82101,180,0,Semiurban,N
Male,Yes,1,Graduate,Unemployed,30449,39681,52775,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,Unemployed,91221,24702,685785,120,1,Semiurban,Y
Male,Yes,1,Graduate,Self-Employed,104080,0,540399,240,1,Rural,Y
Female,Yes,3+,Graduate,Unemployed,20451,24702,95619,300,0,Semiurban,N
Male,Yes,0,Graduate,Self-Employed,102178,17996,302388,180,0,Rural,Y
Male,No,3+,Graduate,Salaried,56316,42212,462755,180,1,Rural,Y
Female,Yes,0,Graduate,Salaried,78064,32691,115149,240,0,Urban,N
Male,Yes,2,Graduate,Salaried,78761,57938,76616,240,0,Semiurban,Y
Female,Yes,2,Graduate,Self-Employed,53870,6132,796055,240,1,Rural,Y
Male,No,1,Graduate,Salaried,111566,25022,235639,360,1,Semiurban,Y
Female,No,2,Not Graduate,Self-Employed,45873,37598,742459,360,1,Rural,Y
Male,No,2,Graduate,Unemployed,73627,29729,256903,360,0,Rural,N
Female,Yes,0,Graduate,Self-Employed,81155,14171,281318,120,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,114186,24164,402365,180,0,Semiurban,N
Female,Yes,1,Not Graduate,Salaried,40372,31536,337623,300,1,Rural,Y
Male,Yes,2,Graduate,Unemployed,18642,7787,411309,120,1,Rural,Y
Male,Yes,2,Graduate,Salaried,43001,51956,105863,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,Salaried,49064,35099,223115,180,1,Urban,Y
Male,Yes,0,Not Graduate,Unemployed,109826,0,545654,240,0,Semiurban,Y
Male,Yes,2,Graduate,Unemployed,29122,51956,553323,240,0,Semiurban,N
Male,No,0,Not Graduate,Salaried,39820,8583,458624,120,0,Semiurban,N
Male,Yes,0,Graduate,Salaried,83431,15195,763340,240,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,70745,20514,328495,180,1,Semiurban,Y
Male,No,0,Graduate,Unemployed,65081,58521,185203,240,1,Semiurban,Y
Female,Yes,0,Graduate,Unemployed,85902,14135,297908,360,1,Urban,Y
Male,No,0,Not Graduate,Salaried,23711,32413,242003,240,1,Semiurban,Y
Male,Yes,1,Graduate,Unemployed,100132,25022,547599,180,1,Semiurban,Y
Female,Yes,0,Graduate,Salaried,33793,22076,324597,120,1,Urban,Y
Female,No,0,Not Graduate,Unemployed,23199,6105,724174,300,0,Urban,N
Male,No,0,Not Graduate,Unemployed,91253,8696,723623,240,1,Semiurban,N
Male,No,0,Graduate,Self-Employed,51191,54812,651982,180,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,25211,32413,590023,300,1,Urban,Y
Male,Yes,0,Graduate,Self-Employed,78069,24149,750033,300,1,Rural,Y
Male,Yes,1,Not Graduate,Salaried,103896,33482,794822,360,1,Semiurban,Y
Male,Yes,1,Graduate,Self-Employed,71746,23060,619354,300,0,Rural,N
Male,No,1,Not Graduate,Self-Employed,36542,24149,184445,180,0,Semiurban,N
Male,Yes,0,Graduate,Salaried,46312,47998,453551,180,0,Semiurban,N
Female,No,0,Graduate,Self-Employed,60242,32691,619829,240,0,Rural,N
Female,Yes,2,Graduate,Unemployed,116971,28816,215129,240,1,Semiurban,Y
